A	A
B	A
D	A
E	A
C	A
F	A
G	A
H	A
I	A
J	A
K	A
L	A
M	A
A	B
B	B
D	B
E	B
C	B
F	B
G	B
H	B
I	B
J	B
K	B
L	B
M	B
A	D
B	D
D	D
E	D
C	D
F	D
G	D
H	D
I	D
J	D
K	D
L	D
M	D
A	E
B	E
D	E
E	E
C	E
F	E
G	E
H	E
I	E
J	E
K	E
L	E
M	E
A	C
B	C
D	C
E	C
C	C
F	C
G	C
H	C
I	C
J	C
K	C
L	C
M	C
A	F
B	F
D	F
E	F
C	F
F	F
G	F
H	F
I	F
J	F
K	F
L	F
M	F
A	G
B	G
D	G
E	G
C	G
F	G
G	G
H	G
I	G
J	G
K	G
L	G
M	G
A	H
B	H
D	H
E	H
C	H
F	H
G	H
H	H
I	H
J	H
K	H
L	H
M	H
A	I
B	I
D	I
E	I
C	I
F	I
G	I
H	I
I	I
J	I
K	I
L	I
M	I
A	J
B	J
D	J
E	J
C	J
F	J
G	J
H	J
I	J
J	J
K	J
L	J
M	J
A	K
B	K
D	K
E	K
C	K
F	K
G	K
H	K
I	K
J	K
K	K
L	K
M	K
A	L
B	L
D	L
E	L
C	L
F	L
G	L
H	L
I	L
J	L
K	L
L	L
M	L
A	M
B	M
D	M
E	M
C	M
F	M
G	M
H	M
I	M
J	M
K	M
L	M
M	M
