 ----- Relation Table -----
   TOT_T  NREC_T   REC_T  COPY_T  LOAD_T  SAVE_T  TUPLES   READS   TUP/s    ID NAME

   .000s   .000s   .000s   .000s   .000s   .000s     170     335    458K    R7 reach_bf
   .000s   .000s   .000s   .000s   .000s   .000s     200       0   7.14M    R3 blocked_from
   .000s   .000s   .000s   .000s   .000s   .000s       1       0   41.6K    R5 m_reach
   .000s   .000s   .000s   .000s   .000s   .000s     200       0   9.09M    R1 ans
   .000s   .000s   .000s   .000s   .000s   .000s       0     200       0    R2 aux
   .000s   .000s   .000s   .000s   .000s   .000s     170       0   13.0M    R8 seed
   .000s   .000s   .000s   .000s   .000s   .000s     200       0     200    R6 node
   .000s   .000s   .000s   .000s   .000s   .000s     400       0     400    R4 edge

