 ----- Relation Table -----
   TOT_T  NREC_T   REC_T  COPY_T  LOAD_T  SAVE_T  TUPLES   READS   TUP/s    ID NAME

   .012s   .000s   .010s   .002s   .000s   .000s   23.0K   45.5K   1.78M    R7 reach_bf
   .000s   .000s   .000s   .000s   .000s   .000s     170     170    183K    R8 seed
   .000s   .000s   .000s   .000s   .000s   .000s     169     200    311K    R2 aux
   .000s   .000s   .000s   .000s   .000s   .000s     171     170    410K    R5 m_reach
   .000s   .000s   .000s   .000s   .000s   .000s      31       0    911K    R3 blocked_from
   .000s   .000s   .000s   .000s   .000s   .000s      31       0   1.63M    R1 ans
   .000s   .000s   .000s   .000s   .000s   .000s     200       0     200    R6 node
   .000s   .000s   .000s   .000s   .000s   .000s     400       0     400    R4 edge

