 ----- Relation Table -----
   TOT_T  NREC_T   REC_T  COPY_T  LOAD_T  SAVE_T  TUPLES   READS   TUP/s    ID NAME

   .000s   .000s   .000s   .000s   .000s   .000s     170     535    521K    R9 reach_bf
   .000s   .000s   .000s   .000s   .000s   .000s     157     522    548K   R10 reach_fb
   .000s   .000s   .000s   .000s   .000s   .000s     400       0   7.27M    R8 radj
   .000s   .000s   .000s   .000s   .000s   .000s       1       0   41.6K    R5 m_reach_bf
   .000s   .000s   .000s   .000s   .000s   .000s      30       0   1.36M    R4 far_from_1
   .000s   .000s   .000s   .000s   .000s   .001s       9       0    409K    R1 ans
   .000s   .000s   .000s   .000s   .000s   .000s      43      30   2.04M    R2 cant_reach_5
   .000s   .000s   .000s   .000s   .000s   .000s       1       0    199K    R6 m_reach_fb
   .000s   .000s   .000s   .000s   .000s   .000s     200       0     200    R7 node
   .000s   .000s   .000s   .000s   .000s   .000s     400       0     400    R3 edge

